drg_code,drg_description
923,"OTHER INJURY, POISONING AND TOXIC EFFECT DIAGNOSES WITHOUT MCC"
61,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT"
623,"SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WIT"
627,"THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES WITHOUT CC/MCC"
741,UTERINE AND ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITHOUT CC/MCC
843,OTHER MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASTIC DIAGNOSES WITH MC
553,BONE DISEASES AND ARTHROPATHIES WITH MCC
557,"TENDONITIS, MYOSITIS AND BURSITIS WITH MCC"
564,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITH MCC
592,SKIN ULCERS WITH MCC
604,"TRAUMA TO THE SKIN, SUBCUTANEOUS TISSUE AND BREAST WITH MCC"
894,"ALCOHOL, DRUG ABUSE OR DEPENDENCE, LEFT AMA"
913,TRAUMATIC INJURY WITH MCC
734,"PELVIC EVISCERATION, RADICAL HYSTERECTOMY AND RADICAL VULVECTOMY WITH CC/MCC"
743,UTERINE AND ADNEXA PROCEDURES FOR NON-MALIGNANCY WITHOUT CC/MCC
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITHOUT CC/MCC
645,ENDOCRINE DISORDERS WITHOUT CC/MCC
462,BILATERAL OR MULTIPLE MAJOR JOINT PROCEDURES OF LOWER EXTREMITY WITHOUT MCC
914,TRAUMATIC INJURY WITHOUT MCC
573,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITH MCC
574,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITH CC
125,OTHER DISORDERS OF THE EYE WITHOUT MCC
144,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH CC"
615,ADRENAL AND PITUITARY PROCEDURES WITHOUT CC/MCC
963,OTHER MULTIPLE SIGNIFICANT TRAUMA WITH MCC
183,MAJOR CHEST TRAUMA WITH MCC
945,REHABILITATION WITH CC/MCC
882,NEUROSES EXCEPT DEPRESSIVE
157,DENTAL AND ORAL DISEASES WITH MCC
407,"PANCREAS, LIVER AND SHUNT PROCEDURES WITHOUT CC/MCC"
488,KNEE PROCEDURES WITHOUT PRINCIPAL DIAGNOSIS OF INFECTION WITH CC/MCC
496,LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITH CC
577,SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITH CC
581,"OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITHOUT CC/MCC"
823,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURES WITH MCC
983,EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITHOUT CC/MCC
31,VENTRICULAR SHUNT PROCEDURES WITH MCC
55,NERVOUS SYSTEM NEOPLASMS WITHOUT MCC
456,"SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE, MALIGNANCY, INFECTION OR EXTENSIVE"
502,SOFT TISSUE PROCEDURES WITHOUT CC/MCC
742,UTERINE AND ADNEXA PROCEDURES FOR NON-MALIGNANCY WITH CC/MCC
826,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDUR
518,BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH MCC OR DISC DEVICE OR NEUROSTIMULATOR
628,"OTHER ENDOCRINE, NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITH MCC"
629,"OTHER ENDOCRINE, NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITH CC"
740,UTERINE AND ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITH CC
717,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES EXCEPT MALIGNANCY WITH CC/MCC
748,FEMALE REPRODUCTIVE SYSTEM RECONSTRUCTIVE PROCEDURES
669,TRANSURETHRAL PROCEDURES WITH CC
571,SKIN DEBRIDEMENT WITH CC
975,HIV WITH MAJOR RELATED CONDITION WITH CC
934,FULL THICKNESS BURN WITHOUT SKIN GRAFT OR INHALATION INJURY
30,SPINAL PROCEDURES WITHOUT CC/MCC
226,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITH MCC
307,CARDIAC CONGENITAL AND VALVULAR DISORDERS WITHOUT MCC
369,MAJOR ESOPHAGEAL DISORDERS WITH CC
423,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITH MCC
479,BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT CC/MCC
560,"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC"
579,"OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITH MCC"
88,CONCUSSION WITH MCC
655,MAJOR BLADDER PROCEDURES WITHOUT CC/MCC
158,DENTAL AND ORAL DISEASES WITH CC
867,OTHER INFECTIOUS AND PARASITIC DISEASES DIAGNOSES WITH MCC
151,EPISTAXIS WITHOUT MCC
155,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH CC"
203,BRONCHITIS AND ASTHMA WITHOUT CC/MCC
477,BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC
540,OSTEOMYELITIS WITH CC
546,CONNECTIVE TISSUE DISORDERS WITH CC
593,SKIN ULCERS WITH CC
696,KIDNEY AND URINARY TRACT SIGNS AND SYMPTOMS WITHOUT MCC
726,BENIGN PROSTATIC HYPERTROPHY WITHOUT MCC
458,"SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE, MALIGNANCY, INFECTION OR EXTENSIVE"
34,CAROTID ARTERY STENT PROCEDURES WITH MCC
42,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITHOUT CC/MCC"
245,AICD GENERATOR PROCEDURES
259,CARDIAC PACEMAKER DEVICE REPLACEMENT WITHOUT MCC
261,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH CC
277,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT MCC
324,CORONARY INTRAVASCULAR LITHOTRIPSY WITH INTRALUMINAL DEVICE WITHOUT MCC
486,KNEE PROCEDURES WITH PRINCIPAL DIAGNOSIS OF INFECTION WITH CC
700,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITHOUT CC/MCC
78,HYPERTENSIVE ENCEPHALOPATHY WITH CC
102,HEADACHES WITH MCC
152,OTITIS MEDIA AND URI WITH MCC
154,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH MCC"
260,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH MCC
296,"CARDIAC ARREST, UNEXPLAINED WITH MCC"
302,ATHEROSCLEROSIS WITH MCC
335,PERITONEAL ADHESIOLYSIS WITH MCC
342,APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITH CC
343,APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITHOUT CC/MCC
344,MINOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC
351,INGUINAL AND FEMORAL HERNIA PROCEDURES WITH CC
353,HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITH MCC
384,UNCOMPLICATED PEPTIC ULCER WITHOUT MCC
474,AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH MCC
555,SIGNS AND SYMPTOMS OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC
559,"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC"
606,MINOR SKIN DISORDERS WITH MCC
616,"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH MCC"
622,"SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WIT"
639,DIABETES WITHOUT CC/MCC
662,MINOR BLADDER PROCEDURES WITH MCC
663,MINOR BLADDER PROCEDURES WITH CC
666,PROSTATECTOMY WITH CC
668,TRANSURETHRAL PROCEDURES WITH MCC
687,KIDNEY AND URINARY TRACT NEOPLASMS WITH CC
714,TRANSURETHRAL PROSTATECTOMY WITHOUT CC/MCC
728,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM WITHOUT MCC
744,"D&C, CONIZATION, LAPAROSCOPY AND TUBAL INTERRUPTION WITH CC/MCC"
746,"VAGINA, CERVIX AND VULVA PROCEDURES WITH CC/MCC"
747,"VAGINA, CERVIX AND VULVA PROCEDURES WITHOUT CC/MCC"
754,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM WITH MCC"
755,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM WITH CC"
844,OTHER MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASTIC DIAGNOSES WITH CC
916,ALLERGIC REACTIONS WITHOUT MCC
72,NONSPECIFIC CEREBROVASCULAR DISORDERS WITHOUT CC/MCC
373,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITHOUT CC/MCC
909,OTHER O.R. PROCEDURES FOR INJURIES WITHOUT CC/MCC
116,INTRAOCULAR PROCEDURES WITH CC/MCC
6,LIVER TRANSPLANT WITHOUT MCC
626,"THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES WITH CC"
505,FOOT PROCEDURES WITHOUT CC/MCC
512,"SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITHOUT CC/MCC"
929,FULL THICKNESS BURN WITH SKIN GRAFT OR INHALATION INJURY WITHOUT CC/MCC
570,SKIN DEBRIDEMENT WITH MCC
420,HEPATOBILIARY DIAGNOSTIC PROCEDURES WITH MCC
415,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITH CC
839,CHEMOTHERAPY WITH ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS WITHOUT CC/MCC
824,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURES WITH CC
619,O.R. PROCEDURES FOR OBESITY WITH MCC
504,FOOT PROCEDURES WITH CC
585,"BREAST BIOPSY, LOCAL EXCISION AND OTHER BREAST PROCEDURES WITHOUT CC/MCC"
902,WOUND DEBRIDEMENTS FOR INJURIES WITH CC
293,HEART FAILURE AND SHOCK WITHOUT CC/MCC
534,FRACTURES OF FEMUR WITHOUT MCC
561,"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT CC/MCC"
949,AFTERCARE WITH CC/MCC
821,LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURES WITH CC
197,INTERSTITIAL LUNG DISEASE WITH CC
642,INBORN AND OTHER DISORDERS OF METABOLISM
946,REHABILITATION WITHOUT CC/MCC
513,"HAND OR WRIST PROCEDURES, EXCEPT MAJOR THUMB OR JOINT PROCEDURES WITH CC/MCC"
59,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH CC
97,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH MCC
98,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH CC
904,SKIN GRAFTS FOR INJURIES WITH CC/MCC
868,OTHER INFECTIOUS AND PARASITIC DISEASES DIAGNOSES WITH CC
113,ORBITAL PROCEDURES WITH CC/MCC
316,OTHER CIRCULATORY SYSTEM DIAGNOSES WITHOUT CC/MCC
578,SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITHOUT CC/MCC
820,LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURES WITH MCC
822,LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURES WITHOUT CC/MCC
168,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITHOUT CC/MCC
414,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITH MCC
497,LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITHOUT CC/
939,O.R. PROCEDURES WITH DIAGNOSES OF OTHER CONTACT WITH HEALTH SERVICES WITH MCC
883,DISORDERS OF PERSONALITY AND IMPULSE CONTROL
831,OTHER ANTEPARTUM DIAGNOSES WITHOUT O.R. PROCEDURES WITH MCC
842,LYMPHOMA AND NON-ACUTE LEUKEMIA WITHOUT CC/MCC
80,NONTRAUMATIC STUPOR AND COMA WITH MCC
320,OTHER ENDOVASCULAR CARDIAC VALVE PROCEDURES WITHOUT MCC
352,INGUINAL AND FEMORAL HERNIA PROCEDURES WITHOUT CC/MCC
596,MAJOR SKIN DISORDERS WITHOUT MCC
722,"MALIGNANCY, MALE REPRODUCTIVE SYSTEM WITH MCC"
222,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI, HF OR SHOCK WITH MC"
225,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI, HF OR SHOCK WITH"
686,KIDNEY AND URINARY TRACT NEOPLASMS WITH MCC
339,APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITH CC
941,O.R. PROCEDURES WITH DIAGNOSES OF OTHER CONTACT WITH HEALTH SERVICES WITHOUT CC/MCC
487,KNEE PROCEDURES WITH PRINCIPAL DIAGNOSIS OF INFECTION WITHOUT CC/MCC
212,CONCOMITANT AORTIC AND MITRAL VALVE PROCEDURES
115,EXTRAOCULAR PROCEDURES EXCEPT ORBIT
121,ACUTE MAJOR EYE INFECTIONS WITH CC/MCC
232,CORONARY BYPASS WITH PTCA WITHOUT MCC
749,OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES WITH CC/MCC
77,HYPERTENSIVE ENCEPHALOPATHY WITH MCC
736,UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITH MCC
140,MAJOR HEAD AND NECK PROCEDURES WITH MCC
